,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-08-17,NSE:YUDIZ,185.0,191.0,181.0,181.39999,902400.0,,
1,2023-08-18,NSE:YUDIZ,172.35001,181.0,172.35001,172.35001,200800.0,-4.988963891343106,
2,2023-08-21,NSE:YUDIZ,167.95,180.95,163.75,180.95,224800.0,4.989840151445301,-4.988963891343106
3,2023-08-22,NSE:YUDIZ,188.75,188.75,180.0,181.25,106400.0,0.16579165515336358,4.989840151445301
4,2023-08-23,NSE:YUDIZ,181.25,188.45,181.25,183.8,132000.0,1.406896551724144,0.16579165515336358
5,2023-08-24,NSE:YUDIZ,187.0,187.0,174.75,178.89999,68800.0,-2.665946681175195,1.406896551724144
6,2023-08-25,NSE:YUDIZ,184.95,184.95,172.5,176.55,30400.0,-1.313577490976937,-2.665946681175195
7,2023-08-28,NSE:YUDIZ,177.10001,179.60001,174.2,175.75,44800.0,-0.4531294250920483,-1.313577490976937
8,2023-08-29,NSE:YUDIZ,179.0,183.5,175.0,179.85001,85600.0,2.3328648648648636,-0.4531294250920483
9,2023-08-30,NSE:YUDIZ,183.0,188.8,182.10001,188.8,326400.0,4.976363359668434,2.3328648648648636
10,2023-08-31,NSE:YUDIZ,202.05,213.8,177.10001,208.14999,479200.0,10.248935381355926,4.976363359668434
11,2023-09-01,NSE:YUDIZ,209.0,210.5,201.0,202.7,100800.0,-2.618299429176054,10.248935381355926
12,2023-09-04,NSE:YUDIZ,202.7,212.0,202.0,205.89999,101600.0,1.5786827824371061,-2.618299429176054
13,2023-09-05,NSE:YUDIZ,207.0,213.0,192.10001,201.35001,158400.0,-2.2098009815347757,1.5786827824371061
14,2023-09-06,NSE:YUDIZ,197.0,210.0,197.0,197.45,100000.0,-1.9369306214586275,-2.2098009815347757
15,2023-09-07,NSE:YUDIZ,198.05,204.95,198.05,201.55,46400.0,2.076475056976461,-1.9369306214586275
16,2023-09-08,NSE:YUDIZ,203.0,204.0,196.35001,198.05,95200.0,-1.736541801041925,2.076475056976461
17,2023-09-11,NSE:YUDIZ,197.5,198.0,185.0,190.2,107200.0,-3.963645544054543,-1.736541801041925
18,2023-09-12,NSE:YUDIZ,188.0,190.2,175.60001,177.75,104800.0,-6.54574132492113,-3.963645544054543
19,2023-09-13,NSE:YUDIZ,181.0,181.5,174.0,179.35001,21600.0,0.9001462728551322,-6.54574132492113
20,2023-09-14,NSE:YUDIZ,180.0,180.0,165.10001,179.35001,104000.0,0.0,0.9001462728551322
21,2023-09-15,NSE:YUDIZ,180.0,182.60001,172.0,174.64999,44000.0,-2.620585301333407,0.0
22,2023-09-18,NSE:YUDIZ,174.64999,177.89999,167.0,170.14999,32000.0,-2.5765818824266753,-2.620585301333407
23,2023-09-20,NSE:YUDIZ,172.0,172.5,169.0,169.75,35200.0,-0.23508082486516899,-2.5765818824266753
24,2023-09-21,NSE:YUDIZ,168.0,170.5,165.10001,168.75,20000.0,-0.5891016200294551,-0.23508082486516899
25,2023-09-22,NSE:YUDIZ,169.0,169.0,166.5,167.0,39200.0,-1.037037037037037,-0.5891016200294551
26,2023-09-25,NSE:YUDIZ,167.0,168.0,155.5,159.8,28800.0,-4.311377245508975,-1.037037037037037
27,2023-09-26,NSE:YUDIZ,152.2,168.85001,140.0,162.25,148000.0,1.5331664580725834,-4.311377245508975
28,2023-09-27,NSE:YUDIZ,167.8,167.8,160.0,162.10001,15200.0,-0.09244375963020186,1.5331664580725834
29,2023-09-28,NSE:YUDIZ,153.14999,162.55,153.10001,159.5,19200.0,-1.603954250218737,-0.09244375963020186
30,2023-09-29,NSE:YUDIZ,163.8,163.8,158.0,160.39999,9600.0,0.5642570532915376,-1.603954250218737
31,2023-10-03,NSE:YUDIZ,156.75,160.0,156.0,157.5,9600.0,-1.807973928177927,0.5642570532915376
