,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2022-04-04,NSE:PROPEQUITY,170.0,178.5,161.5,168.5,1194000.0,,
1,2022-04-05,NSE:PROPEQUITY,170.0,176.89999,160.10001,176.89999,236400.0,4.985157270029675,
2,2022-04-06,NSE:PROPEQUITY,178.5,185.7,171.5,185.35001,120000.0,4.776721581499239,4.985157270029675
3,2022-04-07,NSE:PROPEQUITY,189.0,189.0,176.10001,176.10001,100800.0,-4.990558133770804,4.776721581499239
4,2022-04-08,NSE:PROPEQUITY,170.05,172.0,167.3,168.35001,123600.0,-4.400908324763866,-4.990558133770804
5,2022-04-11,NSE:PROPEQUITY,170.0,170.0,159.95,165.64999,75600.0,-1.6038133885468702,-4.400908324763866
6,2022-04-12,NSE:PROPEQUITY,168.0,172.7,162.35001,170.35001,51600.0,2.83731982114819,-1.6038133885468702
7,2022-04-13,NSE:PROPEQUITY,176.3,177.10001,172.39999,176.64999,57600.0,3.698256313574625,2.83731982114819
8,2022-04-18,NSE:PROPEQUITY,179.0,185.45,179.0,185.45,85200.0,4.981607980843919,3.698256313574625
9,2022-04-19,NSE:PROPEQUITY,194.7,194.7,186.39999,192.55,126000.0,3.8285252089512127,4.981607980843919
10,2022-04-20,NSE:PROPEQUITY,186.0,204.10001,185.0,189.35001,120000.0,-1.6619008049857251,3.8285252089512127
11,2022-04-21,NSE:PROPEQUITY,195.0,195.0,183.0,191.8,55200.0,1.293894835284146,-1.6619008049857251
12,2022-04-22,NSE:PROPEQUITY,188.89999,194.0,185.10001,189.89999,46800.0,-0.990620437956209,1.293894835284146
13,2022-04-25,NSE:PROPEQUITY,185.0,191.0,179.10001,185.75,52800.0,-2.18535556531625,-0.990620437956209
14,2022-04-26,NSE:PROPEQUITY,188.75,188.75,180.0,182.35001,31200.0,-1.830411843876179,-2.18535556531625
15,2022-04-27,NSE:PROPEQUITY,177.0,182.95,175.05,182.2,18000.0,-0.08226487072855596,-1.830411843876179
16,2022-04-28,NSE:PROPEQUITY,179.0,182.10001,172.0,175.39999,21600.0,-3.7321679473106406,-0.08226487072855596
17,2022-04-29,NSE:PROPEQUITY,172.10001,172.10001,162.0,167.14999,49200.0,-4.703535045811576,-3.7321679473106406
18,2022-05-02,NSE:PROPEQUITY,170.0,173.0,169.25,170.0,18000.0,1.7050614241735804,-4.703535045811576
19,2022-05-04,NSE:PROPEQUITY,171.0,171.0,163.0,165.0,18000.0,-2.941176470588235,1.7050614241735804
20,2022-05-05,NSE:PROPEQUITY,165.0,169.85001,165.0,165.0,12000.0,0.0,-2.941176470588235
