,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-08-27,NSE:MFML,118.0,118.2,112.1,112.1,15748.0,,
1,2024-08-28,NSE:MFML,106.5,106.5,106.49,106.49,1082.0,-5.0044603033006245,
2,2024-08-29,NSE:MFML,101.16,101.16,101.16,101.16,236.0,-5.0051648042069665,-5.0044603033006245
3,2024-08-30,NSE:MFML,96.099998,96.099998,96.099998,96.099998,2612.0,-5.001979043100037,-5.0051648042069665
4,2024-09-02,NSE:MFML,91.290001,91.290001,91.290001,91.290001,1531.0,-5.005199896049942,-5.001979043100037
5,2024-09-03,NSE:MFML,86.720001,86.720001,86.720001,86.720001,319.0,-5.0060247014347246,-5.005199896049942
6,2024-09-04,NSE:MFML,82.379997,90.0,82.379997,83.290001,89105.0,-3.9552582569734893,-5.0060247014347246
7,2024-09-05,NSE:MFML,79.699997,79.75,79.120003,79.120003,11417.0,-5.006600972426458,-3.9552582569734893
8,2024-09-06,NSE:MFML,75.160004,75.160004,75.160004,75.160004,2725.0,-5.0050541580490036,-5.006600972426458
9,2024-09-09,NSE:MFML,71.4,71.4,71.4,71.4,1330.0,-5.002666045627133,-5.0050541580490036
10,2024-09-10,NSE:MFML,85.5,85.68,59.05,62.58,948413.0,-12.352941176470598,-5.002666045627133
11,2024-09-11,NSE:MFML,64.0,68.85,60.0,61.22,183311.0,-2.17321828060083,-12.352941176470598
12,2024-09-12,NSE:MFML,62.26,63.96,56.72,60.38,60577.0,-1.3721006207121795,-2.17321828060083
13,2024-09-13,NSE:MFML,60.39,63.05,59.0,59.94,33388.0,-0.7287181185823199,-1.3721006207121795
14,2024-09-16,NSE:MFML,59.94,61.03,59.0,60.22,12571.0,0.46713380046713565,-0.7287181185823199
15,2024-09-17,NSE:MFML,60.22,60.22,58.0,58.87,5582.0,-2.2417801394885446,0.46713380046713565
16,2024-09-18,NSE:MFML,59.9,59.9,56.05,56.97,11631.0,-3.227450314251739,-2.2417801394885446
17,2024-09-19,NSE:MFML,56.0,56.0,54.25,54.37,13443.0,-4.563805511672813,-3.227450314251739
18,2024-09-20,NSE:MFML,55.8,55.85,53.05,54.74,14792.0,0.6805223468824804,-4.563805511672813
19,2024-09-23,NSE:MFML,55.2,56.8,54.0,55.53,3704.0,1.4431859700401883,0.6805223468824804
20,2024-09-24,NSE:MFML,55.5,58.3,55.0,58.16,10898.0,4.736178642175393,1.4431859700401883
21,2024-09-25,NSE:MFML,58.16,60.45,56.5,58.4,4657.0,0.41265474552957704,4.736178642175393
22,2024-09-26,NSE:MFML,59.0,60.25,55.9,59.41,5160.0,1.7294520547945174,0.41265474552957704
23,2024-09-27,NSE:MFML,60.85,60.85,56.43,56.56,6288.0,-4.797172193233453,1.7294520547945174
24,2024-09-30,NSE:MFML,59.0,59.0,54.15,57.08,2751.0,0.9193776520509123,-4.797172193233453
25,2024-10-01,NSE:MFML,57.38,58.49,55.06,57.69,1536.0,1.0686755430974062,0.9193776520509123
26,2024-10-03,NSE:MFML,57.69,58.4,54.8,55.0,2071.0,-4.662853180793895,1.0686755430974062
27,2024-10-04,NSE:MFML,55.0,57.39,53.06,53.14,2079.0,-3.381818181818181,-4.662853180793895
28,2024-10-07,NSE:MFML,53.14,55.39,53.14,54.06,115.0,1.731275875047049,-3.381818181818181
29,2024-10-08,NSE:MFML,53.99,55.9,52.45,55.81,857.0,3.2371439141694416,1.731275875047049
30,2024-10-09,NSE:MFML,58.0,58.0,53.1,57.31,6566.0,2.6876903780684467,3.2371439141694416
31,2024-10-10,NSE:MFML,55.0,57.7,54.5,57.54,1249.0,0.4013261210957893,2.6876903780684467
32,2024-10-11,NSE:MFML,57.54,59.25,55.0,57.45,1146.0,-0.15641293013555146,0.4013261210957893
33,2024-10-14,NSE:MFML,55.0,58.0,54.9,57.93,805.0,0.8355091383811957,-0.15641293013555146
34,2024-10-15,NSE:MFML,56.49,59.65,56.49,58.9,5311.0,1.6744346625237334,0.8355091383811957
35,2024-10-16,NSE:MFML,56.6,58.97,56.6,57.26,1304.0,-2.7843803056027174,1.6744346625237334
