,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-09-16,NSE:TOLINS,228.0,239.4,227.5,239.4,2169949.0,,
1,2024-09-17,NSE:TOLINS,234.8,234.8,227.43,227.43,518853.0,-5.0,
2,2024-09-18,NSE:TOLINS,216.05,222.54,216.05,216.47,799907.0,-4.819065206876845,-5.0
3,2024-09-19,NSE:TOLINS,210.25,214.99,205.64,205.64,257503.0,-5.00300272555089,-4.819065206876845
4,2024-09-20,NSE:TOLINS,197.0,206.0,195.36,200.14,445161.0,-2.674576930558257,-5.00300272555089
5,2024-09-23,NSE:TOLINS,200.14,209.0,195.55,206.81,226860.0,3.3326671330069035,-2.674576930558257
6,2024-09-24,NSE:TOLINS,206.81,207.5,200.75,201.16,140077.0,-2.731976210047873,3.3326671330069035
7,2024-09-25,NSE:TOLINS,198.4,201.0,196.2,196.83,137777.0,-2.1525154106184052,-2.731976210047873
8,2024-09-26,NSE:TOLINS,197.0,201.75,192.0,193.32,128877.0,-1.783264746227719,-2.1525154106184052
9,2024-09-27,NSE:TOLINS,194.95,199.95,191.1,198.47,94549.0,2.6639768259880023,-1.783264746227719
10,2024-09-30,NSE:TOLINS,196.01,197.68,188.3,190.44,180397.0,-4.045951529198368,2.6639768259880023
11,2024-10-01,NSE:TOLINS,191.53,195.0,186.0,190.0,141022.0,-0.23104389834068353,-4.045951529198368
12,2024-10-03,NSE:TOLINS,187.99,191.5,185.0,186.99,207644.0,-1.5842105263157849,-0.23104389834068353
13,2024-10-04,NSE:TOLINS,187.0,190.0,181.58,183.18,225633.0,-2.0375421145515817,-1.5842105263157849
14,2024-10-07,NSE:TOLINS,194.99,196.59,178.5,186.34,371284.0,1.7250791571132202,-2.0375421145515817
15,2024-10-08,NSE:TOLINS,182.48,188.01,182.48,184.91,202860.0,-0.7674144037780437,1.7250791571132202
16,2024-10-09,NSE:TOLINS,189.99,190.33,186.71,187.37,86001.0,1.330376940133042,-0.7674144037780437
17,2024-10-10,NSE:TOLINS,189.25,212.0,188.71,196.14,897725.0,4.680578534450543,1.330376940133042
18,2024-10-11,NSE:TOLINS,196.5,202.14,193.14,194.89,186636.0,-0.6372998878352197,4.680578534450543
19,2024-10-14,NSE:TOLINS,198.74,198.74,186.41,188.11,162016.0,-3.4788855251680295,-0.6372998878352197
20,2024-10-15,NSE:TOLINS,188.0,189.0,182.19,183.19,214042.0,-2.6154909361543863,-3.4788855251680295
21,2024-10-16,NSE:TOLINS,183.19,189.49,183.19,187.69,91617.0,2.4564659642993614,-2.6154909361543863
22,2024-10-17,NSE:TOLINS,187.0,191.08,185.07,186.41,96785.0,-0.6819755980606325,2.4564659642993614
23,2024-10-18,NSE:TOLINS,186.41,186.99,183.0,183.95,55603.0,-1.3196716914328674,-0.6819755980606325
24,2024-10-21,NSE:TOLINS,183.0,186.4,180.1,180.54,62757.0,-1.8537646099483538,-1.3196716914328674
25,2024-10-22,NSE:TOLINS,180.5,181.5,168.51,170.52,123286.0,-5.550016616816208,-1.8537646099483538
26,2024-10-23,NSE:TOLINS,171.99,174.48,170.72,173.55,54644.0,1.7769176636171717,-5.550016616816208
27,2024-10-24,NSE:TOLINS,173.55,174.6,167.11,170.76,110790.0,-1.6076058772688102,1.7769176636171717
28,2024-10-25,NSE:TOLINS,170.0,172.95,163.9,165.64,85780.0,-2.998360271726402,-1.6076058772688102
29,2024-10-28,NSE:TOLINS,167.49,173.12,159.2,170.86,180996.0,3.151412702245851,-2.998360271726402
30,2024-10-29,NSE:TOLINS,171.14,171.14,162.77,166.69,91265.0,-2.4405946388856465,3.151412702245851
31,2024-10-30,NSE:TOLINS,164.0,167.67,161.68,164.3,142474.0,-1.4337992681024574,-2.4405946388856465
32,2024-10-31,NSE:TOLINS,163.86,168.0,163.24,167.09,69971.0,1.698113207547165,-1.4337992681024574
33,2024-11-01,NSE:TOLINS,170.99,173.0,168.47,172.43,53345.0,3.195882458555271,1.698113207547165
34,2024-11-04,NSE:TOLINS,173.5,173.5,165.52,167.82,69539.0,-2.673548686423484,3.195882458555271
35,2024-11-05,NSE:TOLINS,167.94,172.0,165.25,169.19,97156.0,0.8163508521034469,-2.673548686423484
36,2024-11-06,NSE:TOLINS,169.29,172.8,166.06,171.09,144713.0,1.1229978131095253,0.8163508521034469
37,2024-11-07,NSE:TOLINS,172.9,175.97,168.05,170.44,173733.0,-0.3799170027470955,1.1229978131095253
38,2024-11-08,NSE:TOLINS,170.95,172.9,167.34,170.03,59767.0,-0.24055386059610218,-0.3799170027470955
39,2024-11-11,NSE:TOLINS,170.92,170.92,167.0,167.44,43026.0,-1.5232606010704013,-0.24055386059610218
40,2024-11-12,NSE:TOLINS,168.01,173.7,166.81,169.16,163589.0,1.0272336359292875,-1.5232606010704013
41,2024-11-13,NSE:TOLINS,167.7,170.0,156.4,160.24,131567.0,-5.273114211397486,1.0272336359292875
42,2024-11-14,NSE:TOLINS,165.29,169.01,158.02,166.85,172489.0,4.125062406390405,-5.273114211397486
43,2024-11-18,NSE:TOLINS,172.99,186.0,168.48,183.4,686015.0,9.9190890020977,4.125062406390405
44,2024-11-19,NSE:TOLINS,184.55,193.99,182.3,184.33,407591.0,0.5070883315158161,9.9190890020977
45,2024-11-21,NSE:TOLINS,181.96,187.0,174.0,180.97,236643.0,-1.822817772473289,0.5070883315158161
46,2024-11-22,NSE:TOLINS,182.86,182.86,179.0,180.08,66969.0,-0.49179422003646256,-1.822817772473289
47,2024-11-25,NSE:TOLINS,181.4,185.99,175.5,176.58,80387.0,-1.9435806308307417,-0.49179422003646256
48,2024-11-26,NSE:TOLINS,177.0,211.89,177.0,211.89,1163040.0,19.996602106693835,-1.9435806308307417
49,2024-11-27,NSE:TOLINS,220.0,233.0,217.11,223.78,2808209.0,5.611402142621179,19.996602106693835
50,2024-11-28,NSE:TOLINS,221.0,225.34,215.63,218.6,396960.0,-2.3147734381982334,5.611402142621179
51,2024-11-29,NSE:TOLINS,218.0,227.99,217.6,222.1,602912.0,1.6010978956999087,-2.3147734381982334
52,2024-12-02,NSE:TOLINS,220.0,234.15,212.21,229.34,1063831.0,3.2597928860873524,1.6010978956999087
