,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-10-28,NSE:SELMC,4.95,4.95,4.95,4.95,10.0,,
1,2021-10-29,NSE:SELMC,5.15,5.15,5.15,5.15,33.0,4.040404040404043,
2,2021-11-01,NSE:SELMC,5.4,5.4,5.4,5.4,10.0,4.854368932038835,4.040404040404043
3,2021-11-02,NSE:SELMC,5.65,5.65,5.65,5.65,42.0,4.62962962962963,4.854368932038835
4,2021-11-03,NSE:SELMC,5.9,5.9,5.9,5.9,17.0,4.424778761061947,4.62962962962963
5,2021-11-04,NSE:SELMC,6.15,6.15,6.15,6.15,1.0,4.23728813559322,4.424778761061947
6,2021-11-08,NSE:SELMC,6.45,6.45,6.45,6.45,13.0,4.878048780487801,4.23728813559322
7,2021-11-09,NSE:SELMC,6.75,6.75,6.75,6.75,19.0,4.651162790697672,4.878048780487801
8,2021-11-10,NSE:SELMC,7.05,7.05,7.05,7.05,10.0,4.444444444444442,4.651162790697672
9,2021-11-11,NSE:SELMC,7.4,7.4,7.4,7.4,9.0,4.964539007092206,4.444444444444442
10,2021-11-12,NSE:SELMC,8.1,8.1,8.1,8.1,103.0,9.459459459459449,4.964539007092206
11,2021-11-15,NSE:SELMC,8.9,8.9,8.9,8.9,1.0,9.876543209876552,9.459459459459449
12,2021-11-16,NSE:SELMC,9.75,9.75,9.75,9.75,58.0,9.550561797752804,9.876543209876552
13,2021-11-17,NSE:SELMC,10.2,10.2,10.2,10.2,2002.0,4.615384615384608,9.550561797752804
14,2021-11-18,NSE:SELMC,10.7,10.7,10.7,10.7,17.0,4.901960784313726,4.615384615384608
15,2021-11-22,NSE:SELMC,11.2,11.2,11.2,11.2,8.0,4.672897196261683,4.901960784313726
16,2021-11-23,NSE:SELMC,11.75,11.75,11.75,11.75,2.0,4.910714285714293,4.672897196261683
17,2021-11-24,NSE:SELMC,12.3,12.3,12.3,12.3,16.0,4.6808510638297935,4.910714285714293
18,2021-11-25,NSE:SELMC,12.9,12.9,12.9,12.9,6.0,4.878048780487801,4.6808510638297935
19,2021-11-26,NSE:SELMC,13.5,13.5,13.5,13.5,4.0,4.651162790697672,4.878048780487801
20,2021-11-29,NSE:SELMC,14.15,14.15,14.15,14.15,11.0,4.8148148148148175,4.651162790697672
21,2021-11-30,NSE:SELMC,14.85,14.85,14.85,14.85,3.0,4.946996466431091,4.8148148148148175
22,2021-12-02,NSE:SELMC,15.55,15.55,15.55,15.55,4.0,4.713804713804721,4.946996466431091
23,2021-12-03,NSE:SELMC,16.299999,16.299999,16.299999,16.299999,5.0,4.823144694533756,4.713804713804721
24,2021-12-06,NSE:SELMC,17.1,17.1,17.1,17.1,35.0,4.907981896195219,4.823144694533756
25,2021-12-07,NSE:SELMC,17.950001,17.950001,17.950001,17.950001,3.0,4.970766081871338,4.907981896195219
26,2021-12-08,NSE:SELMC,18.799999,18.799999,18.799999,18.799999,14.0,4.7353646386983455,4.970766081871338
27,2021-12-09,NSE:SELMC,19.700001,19.700001,19.700001,19.700001,21.0,4.7872449354917554,4.7353646386983455
28,2021-12-10,NSE:SELMC,20.65,20.65,20.65,20.65,9.0,4.82232970445026,4.7872449354917554
29,2021-12-13,NSE:SELMC,21.65,21.65,21.65,21.65,111.0,4.842615012106538,4.82232970445026
30,2021-12-14,NSE:SELMC,22.700001,22.700001,22.700001,22.700001,12.0,4.849889145496544,4.842615012106538
31,2021-12-15,NSE:SELMC,23.799999,23.799999,23.799999,23.799999,115.0,4.845805953929251,4.849889145496544
32,2021-12-16,NSE:SELMC,24.950001,24.950001,24.950001,24.950001,1.0,4.831941379493339,4.845805953929251
33,2021-12-17,NSE:SELMC,26.15,26.15,26.15,26.15,7.0,4.809615037690773,4.831941379493339
34,2021-12-20,NSE:SELMC,27.450001,27.450001,27.450001,27.450001,6.0,4.971323135755265,4.809615037690773
35,2021-12-21,NSE:SELMC,28.799999,28.799999,28.799999,28.799999,14.0,4.9180253217477095,4.971323135755265
36,2021-12-22,NSE:SELMC,30.200001,30.200001,30.200001,30.200001,17.0,4.861118224344385,4.9180253217477095
37,2021-12-23,NSE:SELMC,31.700001,31.700001,31.700001,31.700001,26.0,4.966887252752078,4.861118224344385
38,2021-12-24,NSE:SELMC,33.25,33.25,33.25,33.25,40.0,4.889586596543008,4.966887252752078
39,2021-12-27,NSE:SELMC,34.900002,34.900002,34.900002,34.900002,8.0,4.96241203007519,4.889586596543008
40,2021-12-28,NSE:SELMC,36.599998,36.599998,36.599998,36.599998,101.0,4.871048431458539,4.96241203007519
41,2021-12-29,NSE:SELMC,38.400002,38.400002,38.400002,38.400002,36.0,4.918043984592571,4.871048431458539
42,2021-12-30,NSE:SELMC,40.299999,40.299999,40.299999,40.299999,10.0,4.947908596463091,4.918043984592571
43,2021-12-31,NSE:SELMC,42.299999,42.299999,42.299999,42.299999,11.0,4.962779279473431,4.947908596463091
44,2022-01-03,NSE:SELMC,44.400002,44.400002,44.400002,44.400002,15.0,4.9645462166559415,4.962779279473431
45,2022-01-04,NSE:SELMC,46.599998,46.599998,46.599998,46.599998,109.0,4.95494572275019,4.9645462166559415
46,2022-01-05,NSE:SELMC,48.900002,48.900002,48.900002,48.900002,42.0,4.935631113117218,4.95494572275019
47,2022-01-06,NSE:SELMC,51.299999,51.299999,51.299999,51.299999,154.0,4.907969124418439,4.935631113117218
48,2022-01-07,NSE:SELMC,53.849998,53.849998,53.849998,53.849998,28.0,4.970758381496264,4.907969124418439
49,2022-01-10,NSE:SELMC,56.5,56.5,56.5,56.5,118.0,4.921080962714243,4.970758381496264
50,2022-01-11,NSE:SELMC,59.299999,59.299999,59.299999,59.299999,16.0,4.955750442477876,4.921080962714243
51,2022-01-12,NSE:SELMC,62.25,62.25,62.25,62.25,61.0,4.974706660619,4.955750442477876
52,2022-01-13,NSE:SELMC,65.349998,65.349998,65.349998,65.349998,6.0,4.979916465863453,4.974706660619
53,2022-01-14,NSE:SELMC,68.599998,68.599998,68.599998,68.599998,12.0,4.973221269264614,4.979916465863453
54,2022-01-17,NSE:SELMC,72.0,72.0,72.0,72.0,23.0,4.956271281523945,4.973221269264614
55,2022-01-18,NSE:SELMC,75.599998,75.599998,75.599998,75.599998,27.0,4.9999972222222215,4.956271281523945
56,2022-01-19,NSE:SELMC,79.349998,79.349998,79.349998,79.349998,7.0,4.960317591542793,4.9999972222222215
57,2022-01-20,NSE:SELMC,83.300003,83.300003,83.300003,83.300003,23.0,4.977952236369313,4.960317591542793
58,2022-01-21,NSE:SELMC,87.449997,87.449997,87.449997,87.449997,53.0,4.981985414814441,4.977952236369313
