,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-10-04,NSE:DIFFNKG,193.5,203.17,193.05,203.17,2801953.0,,
1,2024-10-07,NSE:DIFFNKG,213.32,213.32,213.32,213.32,943611.0,4.99581631146331,
2,2024-10-08,NSE:DIFFNKG,223.98,223.98,223.98,223.98,237895.0,4.997187324207761,4.99581631146331
3,2024-10-09,NSE:DIFFNKG,235.17,235.17,235.17,235.17,189748.0,4.995981784087864,4.997187324207761
4,2024-10-10,NSE:DIFFNKG,246.92,246.92,246.92,246.92,106928.0,4.996385593400519,4.995981784087864
5,2024-10-11,NSE:DIFFNKG,259.26,259.26,234.57,259.21,2434627.0,4.977320589664666,4.996385593400519
6,2024-10-14,NSE:DIFFNKG,246.24,262.4,246.24,258.31,943182.0,-0.3472088268199442,4.977320589664666
7,2024-10-15,NSE:DIFFNKG,253.0,271.22,250.0,271.22,471947.0,4.997870775424887,-0.3472088268199442
8,2024-10-16,NSE:DIFFNKG,284.78,284.78,272.0,284.78,361056.0,4.999631295627145,4.997870775424887
9,2024-10-17,NSE:DIFFNKG,299.01,299.01,290.1,299.01,531677.0,4.996839665706868,4.999631295627145
10,2024-10-18,NSE:DIFFNKG,302.0,351.45,271.2,340.25,3689574.0,13.792180863516274,4.996839665706868
11,2024-10-21,NSE:DIFFNKG,337.02,408.3,335.12,408.3,3362282.0,20.000000000000004,13.792180863516274
12,2024-10-22,NSE:DIFFNKG,420.0,489.96,416.53,489.69,4850552.0,19.933872152828798,20.000000000000004
13,2024-10-23,NSE:DIFFNKG,479.0,479.0,440.72,440.72,1528963.0,-10.00020421082725,19.933872152828798
14,2024-10-24,NSE:DIFFNKG,396.64,396.64,396.64,396.64,28131.0,-10.001815211472145,-10.00020421082725
15,2024-10-25,NSE:DIFFNKG,356.97,356.97,356.97,356.97,18568.0,-10.001512706736577,-10.001815211472145
16,2024-10-28,NSE:DIFFNKG,339.12,364.72,339.12,339.12,2149731.0,-5.000420203378441,-10.001512706736577
17,2024-10-29,NSE:DIFFNKG,339.1,343.0,322.16,322.16,763637.0,-5.001179523472511,-5.000420203378441
18,2024-10-30,NSE:DIFFNKG,315.0,338.26,310.1,338.26,611393.0,4.997516761857451,-5.001179523472511
19,2024-10-31,NSE:DIFFNKG,355.17,355.17,355.17,355.17,199988.0,4.999113108259926,4.997516761857451
20,2024-11-01,NSE:DIFFNKG,363.0,372.95,351.9,368.2,848038.0,3.6686657093785997,4.999113108259926
21,2024-11-04,NSE:DIFFNKG,349.8,355.0,349.8,349.8,211040.0,-4.99728408473655,3.6686657093785997
22,2024-11-05,NSE:DIFFNKG,332.35,342.45,332.35,332.8,768384.0,-4.859919954259577,-4.99728408473655
23,2024-11-06,NSE:DIFFNKG,339.0,349.4,332.1,338.3,884023.0,1.6526442307692308,-4.859919954259577
24,2024-11-07,NSE:DIFFNKG,341.0,346.0,329.0,330.4,343360.0,-2.3352054389595134,1.6526442307692308
25,2024-11-08,NSE:DIFFNKG,333.3,346.9,324.1,328.7,566576.0,-0.5145278450363162,-2.3352054389595134
26,2024-11-11,NSE:DIFFNKG,332.9,343.35,325.0,332.15,278867.0,1.049589291146939,-0.5145278450363162
27,2024-11-12,NSE:DIFFNKG,335.8,336.0,317.0,320.1,155613.0,-3.6278789703447103,1.049589291146939
28,2024-11-13,NSE:DIFFNKG,329.0,329.0,304.1,304.1,353565.0,-4.9984379881287095,-3.6278789703447103
29,2024-11-14,NSE:DIFFNKG,305.95,307.0,288.9,296.15,337137.0,-2.6142716211772594,-4.9984379881287095
30,2024-11-18,NSE:DIFFNKG,295.5,310.95,281.35,310.95,288810.0,4.997467499577921,-2.6142716211772594
31,2024-11-19,NSE:DIFFNKG,320.05,326.45,317.0,326.45,115690.0,4.984724232191671,4.997467499577921
32,2024-11-21,NSE:DIFFNKG,331.8,331.8,310.15,310.15,304711.0,-4.993107673456889,4.984724232191671
33,2024-11-22,NSE:DIFFNKG,306.0,316.0,295.0,303.4,289985.0,-2.176366274383363,-4.993107673456889
34,2024-11-25,NSE:DIFFNKG,308.5,313.45,301.05,301.95,115850.0,-0.47791694133157175,-2.176366274383363
35,2024-11-26,NSE:DIFFNKG,312.5,313.5,301.35,305.6,95781.0,1.2088094055307284,-0.47791694133157175
36,2024-11-27,NSE:DIFFNKG,308.0,320.8,301.35,309.45,236539.0,1.2598167539266902,1.2088094055307284
37,2024-11-28,NSE:DIFFNKG,310.5,315.7,308.15,312.5,101344.0,0.9856196477621624,1.2598167539266902
38,2024-11-29,NSE:DIFFNKG,312.5,312.5,302.25,307.65,90051.0,-1.5520000000000072,0.9856196477621624
39,2024-12-02,NSE:DIFFNKG,305.65,323.0,302.5,322.75,133199.0,4.908174874045189,-1.5520000000000072
40,2024-12-03,NSE:DIFFNKG,331.75,336.7,325.85,333.9,191632.0,3.454686289697902,4.908174874045189
41,2024-12-04,NSE:DIFFNKG,340.0,350.55,330.4,349.55,295449.0,4.6870320455226215,3.454686289697902
42,2024-12-05,NSE:DIFFNKG,350.0,363.7,340.6,351.15,265391.0,0.4577313689028653,4.6870320455226215
43,2024-12-06,NSE:DIFFNKG,355.0,365.0,342.6,362.05,182610.0,3.1040865726897438,0.4577313689028653
44,2024-12-09,NSE:DIFFNKG,367.0,367.65,351.0,353.0,141729.0,-2.4996547438199177,3.1040865726897438
45,2024-12-10,NSE:DIFFNKG,352.9,358.7,335.35,336.9,214101.0,-4.560906515580743,-2.4996547438199177
46,2024-12-11,NSE:DIFFNKG,339.5,348.6,334.0,340.2,114809.0,0.9795191451469313,-4.560906515580743
47,2024-12-12,NSE:DIFFNKG,341.4,357.2,339.45,352.25,170519.0,3.5420340975896565,0.9795191451469313
48,2024-12-13,NSE:DIFFNKG,352.8,356.45,336.0,347.7,191362.0,-1.2916962384670012,3.5420340975896565
49,2024-12-16,NSE:DIFFNKG,345.6,365.05,345.0,365.05,134504.0,4.989933851021002,-1.2916962384670012
50,2024-12-17,NSE:DIFFNKG,383.3,383.3,365.05,383.3,299934.0,4.999315162306534,4.989933851021002
51,2024-12-18,NSE:DIFFNKG,394.4,397.0,364.15,364.15,178461.0,-4.996086616227506,4.999315162306534
52,2024-12-19,NSE:DIFFNKG,345.95,356.9,345.95,346.2,214897.0,-4.929287381573524,-4.996086616227506
53,2024-12-20,NSE:DIFFNKG,352.4,363.5,331.05,334.5,378418.0,-3.3795493934142087,-4.929287381573524
54,2024-12-23,NSE:DIFFNKG,336.4,341.45,322.7,324.4,78254.0,-3.0194319880418603,-3.3795493934142087
55,2024-12-24,NSE:DIFFNKG,325.5,340.6,322.1,339.25,108612.0,4.577681874229354,-3.0194319880418603
56,2024-12-26,NSE:DIFFNKG,340.0,346.0,329.75,331.7,103426.0,-2.225497420781138,4.577681874229354
57,2024-12-27,NSE:DIFFNKG,331.25,339.0,328.0,329.7,44563.0,-0.6029544769369912,-2.225497420781138
58,2024-12-30,NSE:DIFFNKG,332.0,334.5,320.0,323.35,45987.0,-1.9259933272672023,-0.6029544769369912
59,2024-12-31,NSE:DIFFNKG,320.0,336.6,317.55,332.55,76335.0,2.8452141642183357,-1.9259933272672023
60,2025-01-01,NSE:DIFFNKG,332.5,336.4,327.75,331.4,62670.0,-0.34581265975042375,2.8452141642183357
61,2025-01-02,NSE:DIFFNKG,333.0,344.4,327.0,339.9,61024.0,2.5648762824381413,-0.34581265975042375
62,2025-01-03,NSE:DIFFNKG,342.2,356.85,340.25,356.45,191796.0,4.869079140923805,2.5648762824381413
