,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2017-09-08,NSE:PASHUPATI,77.0,77.0,75.0,75.0,763200.0,,
1,2017-09-11,NSE:PASHUPATI,75.050003,76.349998,75.0,75.0,209600.0,0.0,
2,2017-09-12,NSE:PASHUPATI,75.0,75.099998,75.0,75.0,83200.0,0.0,0.0
3,2017-09-13,NSE:PASHUPATI,75.050003,75.050003,75.0,75.0,44800.0,0.0,0.0
4,2017-09-14,NSE:PASHUPATI,75.050003,75.25,75.0,75.150002,118400.0,0.20000266666666752,0.0
5,2017-09-15,NSE:PASHUPATI,73.0,75.050003,73.0,75.050003,193600.0,-0.13306586472212847,0.20000266666666752
6,2017-09-18,NSE:PASHUPATI,74.949997,75.0,73.0,75.0,52800.0,-0.06662624650395256,-0.13306586472212847
7,2017-09-19,NSE:PASHUPATI,75.0,75.099998,75.0,75.0,19200.0,0.0,-0.06662624650395256
8,2017-09-20,NSE:PASHUPATI,75.0,75.099998,75.0,75.050003,60800.0,0.06667066666667172,0.0
9,2017-09-21,NSE:PASHUPATI,75.0,75.0,74.699997,75.0,22400.0,-0.06662624650395256,0.06667066666667172
10,2017-09-22,NSE:PASHUPATI,74.0,74.0,74.0,74.0,6400.0,-1.3333333333333335,-0.06662624650395256
11,2017-09-25,NSE:PASHUPATI,74.0,74.0,73.25,73.25,25600.0,-1.0135135135135136,-1.3333333333333335
12,2017-09-26,NSE:PASHUPATI,73.5,73.5,73.5,73.5,1600.0,0.3412969283276451,-1.0135135135135136
13,2017-09-27,NSE:PASHUPATI,73.5,74.0,73.5,73.5,83200.0,0.0,0.3412969283276451
14,2017-09-28,NSE:PASHUPATI,73.0,73.75,73.0,73.5,24000.0,0.0,0.0
15,2017-09-29,NSE:PASHUPATI,73.599998,73.650002,73.5,73.5,6400.0,0.0,0.0
16,2017-10-03,NSE:PASHUPATI,74.099998,74.599998,74.0,74.599998,8000.0,1.496595918367346,0.0
17,2017-10-04,NSE:PASHUPATI,74.099998,74.400002,74.0,74.0,8000.0,-0.8042868848334278,1.496595918367346
18,2017-10-05,NSE:PASHUPATI,74.0,74.0,74.0,74.0,8000.0,0.0,-0.8042868848334278
19,2017-10-06,NSE:PASHUPATI,75.0,75.0,74.650002,75.0,9600.0,1.3513513513513513,0.0
20,2017-10-09,NSE:PASHUPATI,75.0,75.0,74.900002,74.900002,4800.0,-0.13333066666666582,1.3513513513513513
21,2017-10-10,NSE:PASHUPATI,74.5,74.5,74.5,74.5,1600.0,-0.534048049825153,-0.13333066666666582
22,2017-10-11,NSE:PASHUPATI,74.5,75.0,74.400002,74.400002,8000.0,-0.13422550335570385,-0.534048049825153
23,2017-10-12,NSE:PASHUPATI,74.5,74.5,74.300003,74.300003,6400.0,-0.13440725445141363,-0.13422550335570385
24,2017-10-13,NSE:PASHUPATI,74.5,74.5,74.400002,74.400002,3200.0,0.13458815068957244,-0.13440725445141363
25,2017-10-16,NSE:PASHUPATI,74.5,74.5,74.5,74.5,16000.0,0.13440591036543165,0.13458815068957244
26,2017-10-17,NSE:PASHUPATI,74.949997,74.949997,74.949997,74.949997,73600.0,0.6040228187919413,0.13440591036543165
27,2017-10-18,NSE:PASHUPATI,74.949997,74.949997,74.0,74.5,104000.0,-0.6003962882079852,0.6040228187919413
28,2017-10-19,NSE:PASHUPATI,74.400002,74.400002,74.0,74.0,65600.0,-0.6711409395973155,-0.6003962882079852
29,2017-10-24,NSE:PASHUPATI,74.0,74.5,74.0,74.25,25600.0,0.33783783783783783,-0.6711409395973155
30,2017-10-25,NSE:PASHUPATI,74.0,74.900002,74.0,74.900002,81600.0,0.8754235690235699,0.33783783783783783
31,2017-10-30,NSE:PASHUPATI,74.0,74.0,74.0,74.0,1600.0,-1.201604774322971,0.8754235690235699
32,2017-10-31,NSE:PASHUPATI,74.0,74.900002,73.900002,73.900002,54400.0,-0.1351324324324316,-1.201604774322971
33,2017-11-01,NSE:PASHUPATI,74.550003,74.599998,74.5,74.599998,4800.0,0.9472205427003895,-0.1351324324324316
34,2017-11-02,NSE:PASHUPATI,74.75,74.800003,73.699997,73.699997,14400.0,-1.2064356891805856,0.9472205427003895
35,2017-11-03,NSE:PASHUPATI,74.449997,74.550003,74.0,74.5,8000.0,1.085485797238233,-1.2064356891805856
36,2017-11-06,NSE:PASHUPATI,74.400002,74.449997,73.900002,73.900002,8000.0,-0.8053664429530193,1.085485797238233
37,2017-11-07,NSE:PASHUPATI,74.0,74.0,73.900002,73.900002,3200.0,0.0,-0.8053664429530193
38,2017-11-10,NSE:PASHUPATI,74.900002,74.900002,74.900002,74.900002,4800.0,1.3531799363144807,0.0
39,2017-11-13,NSE:PASHUPATI,74.0,74.0,74.0,74.0,3200.0,-1.201604774322971,1.3531799363144807
40,2017-11-14,NSE:PASHUPATI,74.0,74.0,73.800003,73.849998,4800.0,-0.20270540540540627,-1.201604774322971
41,2017-11-15,NSE:PASHUPATI,74.0,74.0,74.0,74.0,3200.0,0.2031171348169849,-0.20270540540540627
42,2017-11-16,NSE:PASHUPATI,74.449997,74.449997,74.0,74.0,3200.0,0.0,0.2031171348169849
43,2017-11-17,NSE:PASHUPATI,74.0,74.0,73.800003,73.800003,4800.0,-0.27026621621621105,0.0
44,2017-11-20,NSE:PASHUPATI,74.0,74.0,73.900002,73.900002,3200.0,0.13549999449186584,-0.27026621621621105
45,2017-11-24,NSE:PASHUPATI,74.0,74.0,73.75,73.75,3200.0,-0.20297969680704558,0.13549999449186584
46,2017-11-27,NSE:PASHUPATI,74.0,74.0,74.0,74.0,1600.0,0.3389830508474576,-0.20297969680704558
47,2017-11-28,NSE:PASHUPATI,73.5,75.0,73.5,75.0,206400.0,1.3513513513513513,0.3389830508474576
48,2017-11-30,NSE:PASHUPATI,74.0,74.949997,74.0,74.949997,27200.0,-0.06667066666667172,1.3513513513513513
49,2017-12-04,NSE:PASHUPATI,74.949997,74.949997,74.949997,74.949997,32000.0,0.0,-0.06667066666667172
50,2017-12-05,NSE:PASHUPATI,75.0,75.0,75.0,75.0,99200.0,0.0667151460993438,0.0
51,2017-12-06,NSE:PASHUPATI,73.900002,73.900002,73.900002,73.900002,33600.0,-1.466663999999999,0.0667151460993438
52,2017-12-11,NSE:PASHUPATI,75.0,75.0,74.0,74.0,3200.0,0.13531528727157457,-1.466663999999999
53,2017-12-12,NSE:PASHUPATI,73.5,73.5,73.5,73.5,1600.0,-0.6756756756756757,0.13531528727157457
54,2017-12-13,NSE:PASHUPATI,74.0,74.0,74.0,74.0,1600.0,0.6802721088435374,-0.6756756756756757
55,2017-12-18,NSE:PASHUPATI,74.0,74.199997,74.0,74.199997,73600.0,0.27026621621621105,0.6802721088435374
56,2017-12-19,NSE:PASHUPATI,74.0,74.5,74.0,74.5,32000.0,0.4043167279373392,0.27026621621621105
57,2017-12-20,NSE:PASHUPATI,74.300003,74.300003,74.300003,74.300003,3200.0,-0.2684523489932835,0.4043167279373392
58,2017-12-21,NSE:PASHUPATI,73.5,74.599998,73.5,74.599998,57600.0,0.4037617602787924,-0.2684523489932835
59,2017-12-27,NSE:PASHUPATI,73.5,73.5,73.400002,73.400002,4800.0,-1.6085737696668556,0.4037617602787924
60,2017-12-29,NSE:PASHUPATI,73.5,73.5,73.5,73.5,1600.0,0.1362370535085263,-1.6085737696668556
61,2018-01-01,NSE:PASHUPATI,74.0,74.0,74.0,74.0,1600.0,0.6802721088435374,0.1362370535085263
62,2018-01-02,NSE:PASHUPATI,74.900002,74.900002,74.900002,74.900002,1600.0,1.2162189189189199,0.6802721088435374
63,2018-01-04,NSE:PASHUPATI,74.5,74.5,74.5,74.5,40000.0,-0.534048049825153,1.2162189189189199
64,2018-01-05,NSE:PASHUPATI,74.800003,74.800003,74.449997,74.449997,51200.0,-0.06711812080537422,-0.534048049825153
65,2018-01-16,NSE:PASHUPATI,73.0,73.0,73.0,73.0,1600.0,-1.9476118984934228,-0.06711812080537422
66,2018-01-17,NSE:PASHUPATI,73.0,74.800003,73.0,74.800003,60800.0,2.4657575342465807,-1.9476118984934228
67,2018-01-19,NSE:PASHUPATI,76.0,76.0,76.0,76.0,1600.0,1.6042739998285778,2.4657575342465807
68,2018-01-24,NSE:PASHUPATI,73.0,73.0,73.0,73.0,1600.0,-3.9473684210526314,1.6042739998285778
69,2018-01-25,NSE:PASHUPATI,73.0,73.0,73.0,73.0,1600.0,0.0,-3.9473684210526314
70,2018-01-29,NSE:PASHUPATI,73.0,73.0,73.0,73.0,1600.0,0.0,0.0
71,2018-01-30,NSE:PASHUPATI,73.0,73.0,72.900002,72.900002,3200.0,-0.13698356164383474,0.0
72,2018-01-31,NSE:PASHUPATI,73.0,75.0,73.0,75.0,6400.0,2.8806556136994335,-0.13698356164383474
73,2018-02-05,NSE:PASHUPATI,72.0,72.0,71.900002,71.900002,6400.0,-4.133330666666666,2.8806556136994335
74,2018-02-06,NSE:PASHUPATI,73.900002,73.900002,73.900002,73.900002,1600.0,2.781641090914017,-4.133330666666666
75,2018-02-12,NSE:PASHUPATI,70.0,70.0,70.0,70.0,3200.0,-5.277404457986348,2.781641090914017
76,2018-02-20,NSE:PASHUPATI,70.0,70.0,70.0,70.0,4800.0,0.0,-5.277404457986348
77,2018-02-21,NSE:PASHUPATI,70.0,70.0,70.0,70.0,1600.0,0.0,0.0
78,2018-02-26,NSE:PASHUPATI,70.0,70.0,70.0,70.0,3200.0,0.0,0.0
79,2018-02-28,NSE:PASHUPATI,73.599998,73.599998,73.599998,73.599998,1600.0,5.142854285714285,0.0
80,2018-03-05,NSE:PASHUPATI,73.400002,73.400002,73.400002,73.400002,1600.0,-0.2717337030362402,5.142854285714285
81,2018-03-06,NSE:PASHUPATI,71.0,71.0,71.0,71.0,3200.0,-3.2697574040938044,-0.2717337030362402
82,2018-03-07,NSE:PASHUPATI,71.0,71.0,71.0,71.0,1600.0,0.0,-3.2697574040938044
83,2018-03-08,NSE:PASHUPATI,70.0,70.0,67.0,67.0,4800.0,-5.633802816901409,0.0
84,2018-03-12,NSE:PASHUPATI,68.0,68.0,68.0,68.0,1600.0,1.4925373134328357,-5.633802816901409
85,2018-03-13,NSE:PASHUPATI,71.900002,73.599998,71.900002,73.400002,17600.0,7.941179411764707,1.4925373134328357
86,2018-03-14,NSE:PASHUPATI,72.0,72.900002,72.0,72.900002,16000.0,-0.6811988915204662,7.941179411764707
87,2018-03-15,NSE:PASHUPATI,71.900002,76.5,71.900002,74.900002,126400.0,2.7434841496986517,-0.6811988915204662
88,2018-03-16,NSE:PASHUPATI,71.5,71.5,64.0,66.0,121600.0,-11.882512366288054,2.7434841496986517
89,2018-03-20,NSE:PASHUPATI,65.0,67.099998,65.0,67.099998,3200.0,1.6666636363636356,-11.882512366288054
90,2018-03-21,NSE:PASHUPATI,55.0,67.0,55.0,67.0,3200.0,-0.14902832038832456,1.6666636363636356
91,2018-03-22,NSE:PASHUPATI,70.0,74.050003,70.0,72.0,140800.0,7.462686567164178,-0.14902832038832456
92,2018-03-26,NSE:PASHUPATI,67.0,67.0,67.0,67.0,3200.0,-6.944444444444445,7.462686567164178
93,2018-04-16,NSE:PASHUPATI,67.0,67.0,67.0,67.0,1600.0,0.0,-6.944444444444445
94,2018-04-27,NSE:PASHUPATI,70.0,72.800003,70.0,72.699997,81600.0,8.507458208955217,0.0
95,2018-04-30,NSE:PASHUPATI,70.0,70.0,70.0,70.0,1600.0,-3.713888736474083,8.507458208955217
96,2018-05-07,NSE:PASHUPATI,67.199997,68.099998,67.099998,68.099998,25600.0,-2.7142885714285723,-3.713888736474083
97,2018-05-10,NSE:PASHUPATI,68.0,68.0,68.0,68.0,1600.0,-0.14683994557532787,-2.7142885714285723
98,2018-05-14,NSE:PASHUPATI,67.0,67.0,65.0,65.0,3200.0,-4.411764705882353,-0.14683994557532787
99,2018-05-17,NSE:PASHUPATI,65.0,65.0,65.0,65.0,1600.0,0.0,-4.411764705882353
100,2018-05-28,NSE:PASHUPATI,67.0,67.0,65.0,65.0,3200.0,0.0,0.0
101,2018-06-01,NSE:PASHUPATI,65.0,65.0,65.0,65.0,1600.0,0.0,0.0
102,2018-06-11,NSE:PASHUPATI,62.0,62.0,60.0,60.0,3200.0,-7.6923076923076925,0.0
103,2018-06-15,NSE:PASHUPATI,62.0,62.0,62.0,62.0,1600.0,3.3333333333333335,-7.6923076923076925
104,2018-06-20,NSE:PASHUPATI,62.0,62.0,62.0,62.0,1600.0,0.0,3.3333333333333335
105,2018-06-25,NSE:PASHUPATI,60.0,60.0,60.0,60.0,1600.0,-3.225806451612903,0.0
106,2018-06-26,NSE:PASHUPATI,57.0,57.0,57.0,57.0,1600.0,-5.0,-3.225806451612903
107,2018-06-28,NSE:PASHUPATI,60.0,60.0,60.0,60.0,17600.0,5.263157894736842,-5.0
108,2018-07-04,NSE:PASHUPATI,60.900002,60.900002,60.900002,60.900002,17600.0,1.5000033333333345,5.263157894736842
109,2018-07-12,NSE:PASHUPATI,61.0,61.0,61.0,61.0,1600.0,0.16420032301476667,1.5000033333333345
110,2018-07-26,NSE:PASHUPATI,61.900002,61.900002,55.0,55.0,6400.0,-9.836065573770492,0.16420032301476667
111,2018-08-09,NSE:PASHUPATI,55.0,55.0,55.0,55.0,3200.0,0.0,-9.836065573770492
112,2018-08-10,NSE:PASHUPATI,52.5,52.5,52.5,52.5,1600.0,-4.545454545454546,0.0
113,2018-08-21,NSE:PASHUPATI,57.0,57.0,57.0,57.0,1600.0,8.571428571428571,-4.545454545454546
114,2018-09-21,NSE:PASHUPATI,57.0,57.5,57.0,57.5,140800.0,0.8771929824561403,8.571428571428571
115,2018-09-25,NSE:PASHUPATI,55.0,55.0,55.0,55.0,3200.0,-4.3478260869565215,0.8771929824561403
116,2018-09-27,NSE:PASHUPATI,55.0,55.0,55.0,55.0,1600.0,0.0,-4.3478260869565215
117,2018-10-05,NSE:PASHUPATI,52.0,52.0,52.0,52.0,1600.0,-5.454545454545454,0.0
118,2018-10-08,NSE:PASHUPATI,52.0,52.0,52.0,52.0,3200.0,0.0,-5.454545454545454
119,2018-10-25,NSE:PASHUPATI,50.0,50.0,50.0,50.0,1600.0,-3.8461538461538463,0.0
120,2018-10-30,NSE:PASHUPATI,51.0,51.0,51.0,51.0,1600.0,2.0,-3.8461538461538463
121,2018-11-01,NSE:PASHUPATI,51.0,51.0,51.0,51.0,1600.0,0.0,2.0
122,2018-11-02,NSE:PASHUPATI,51.0,51.0,51.0,51.0,1600.0,0.0,0.0
123,2018-11-19,NSE:PASHUPATI,50.0,50.0,50.0,50.0,1600.0,-1.9607843137254901,0.0
124,2018-12-18,NSE:PASHUPATI,52.5,52.5,51.0,51.0,28800.0,2.0,-1.9607843137254901
125,2018-12-19,NSE:PASHUPATI,52.0,52.0,52.0,52.0,1600.0,1.9607843137254901,2.0
126,2018-12-20,NSE:PASHUPATI,54.0,54.0,54.0,54.0,1600.0,3.8461538461538463,1.9607843137254901
127,2019-01-08,NSE:PASHUPATI,54.049999,54.049999,54.0,54.0,17600.0,0.0,3.8461538461538463
128,2019-01-16,NSE:PASHUPATI,57.0,57.0,57.0,57.0,1600.0,5.555555555555555,0.0
129,2019-01-18,NSE:PASHUPATI,57.0,57.0,57.0,57.0,1600.0,0.0,5.555555555555555
130,2019-01-21,NSE:PASHUPATI,57.0,57.0,57.0,57.0,1600.0,0.0,0.0
131,2019-01-22,NSE:PASHUPATI,57.0,57.0,57.0,57.0,1600.0,0.0,0.0
132,2019-01-28,NSE:PASHUPATI,53.0,53.0,53.0,53.0,1600.0,-7.017543859649122,0.0
133,2019-02-04,NSE:PASHUPATI,53.0,53.0,53.0,53.0,1600.0,0.0,-7.017543859649122
134,2019-02-05,NSE:PASHUPATI,53.0,53.0,53.0,53.0,1600.0,0.0,0.0
135,2019-02-08,NSE:PASHUPATI,53.0,53.0,53.0,53.0,1600.0,0.0,0.0
136,2019-02-14,NSE:PASHUPATI,50.0,50.0,50.0,50.0,0.0,-5.660377358490567,0.0
137,2019-03-15,NSE:PASHUPATI,47.0,47.0,47.0,47.0,1600.0,-6.0,-5.660377358490567
138,2019-03-19,NSE:PASHUPATI,56.349998,56.400002,56.349998,56.400002,3200.0,20.00000425531915,-6.0
139,2019-04-01,NSE:PASHUPATI,50.0,65.0,50.0,57.0,6400.0,1.0638262034104171,20.00000425531915
140,2019-04-03,NSE:PASHUPATI,60.0,60.0,60.0,60.0,1600.0,5.263157894736842,1.0638262034104171
141,2019-04-08,NSE:PASHUPATI,53.0,53.0,53.0,53.0,3200.0,-11.666666666666666,5.263157894736842
142,2019-04-15,NSE:PASHUPATI,57.0,60.0,57.0,60.0,3200.0,13.20754716981132,-11.666666666666666
143,2019-04-16,NSE:PASHUPATI,65.0,65.0,63.950001,65.0,6400.0,8.333333333333332,13.20754716981132
144,2019-04-18,NSE:PASHUPATI,60.0,61.0,60.0,60.0,6400.0,-7.6923076923076925,8.333333333333332
145,2019-04-22,NSE:PASHUPATI,65.0,65.25,65.0,65.25,3200.0,8.75,-7.6923076923076925
146,2019-04-24,NSE:PASHUPATI,68.800003,68.800003,53.450001,65.0,4800.0,-0.38314176245210724,8.75
147,2019-04-25,NSE:PASHUPATI,61.0,61.5,61.0,61.5,3200.0,-5.384615384615385,-0.38314176245210724
148,2019-05-29,NSE:PASHUPATI,53.299999,53.299999,53.299999,53.299999,1600.0,-13.333334959349594,-5.384615384615385
149,2019-06-11,NSE:PASHUPATI,63.0,63.0,63.0,63.0,1600.0,18.198876514050216,-13.333334959349594
150,2019-06-12,NSE:PASHUPATI,63.0,63.5,63.0,63.5,3200.0,0.7936507936507936,18.198876514050216
151,2019-06-13,NSE:PASHUPATI,52.950001,63.25,50.900002,61.5,6400.0,-3.149606299212598,0.7936507936507936
152,2019-06-19,NSE:PASHUPATI,61.349998,61.349998,50.950001,58.75,4800.0,-4.471544715447155,-3.149606299212598
153,2019-07-11,NSE:PASHUPATI,47.25,68.550003,47.25,58.25,4800.0,-0.851063829787234,-4.471544715447155
154,2019-07-17,NSE:PASHUPATI,55.0,68.849998,47.150002,58.049999,8000.0,-0.3433493562231765,-0.851063829787234
155,2019-07-25,NSE:PASHUPATI,68.5,68.5,46.75,55.349998,4800.0,-4.651164593473982,-0.3433493562231765
156,2019-08-06,NSE:PASHUPATI,50.0,65.099998,50.0,60.599998,89600.0,9.485095193680044,-4.651164593473982
157,2019-08-07,NSE:PASHUPATI,62.400002,62.400002,62.400002,62.400002,16000.0,2.9703037283928646,9.485095193680044
158,2019-08-28,NSE:PASHUPATI,52.0,52.0,52.0,52.0,1600.0,-16.666669337606752,2.9703037283928646
159,2019-08-29,NSE:PASHUPATI,50.5,59.549999,50.5,59.5,97600.0,14.423076923076922,-16.666669337606752
160,2019-08-30,NSE:PASHUPATI,65.099998,65.150002,65.099998,65.099998,3200.0,9.411761344537814,14.423076923076922
161,2019-09-03,NSE:PASHUPATI,64.599998,64.75,54.0,63.0,124800.0,-3.225803478519307,9.411761344537814
162,2019-09-04,NSE:PASHUPATI,74.900002,75.0,51.650002,63.450001,68800.0,0.7142873015873021,-3.225803478519307
163,2019-09-05,NSE:PASHUPATI,63.25,63.25,54.200001,54.950001,9600.0,-13.396374887369976,0.7142873015873021
164,2019-09-06,NSE:PASHUPATI,48.0,60.549999,48.0,60.5,100800.0,10.100088988169444,-13.396374887369976
165,2019-09-11,NSE:PASHUPATI,70.5,70.5,70.0,70.0,3200.0,15.702479338842975,10.100088988169444
166,2019-09-13,NSE:PASHUPATI,74.800003,74.800003,68.5,71.949997,54400.0,2.7857099999999946,15.702479338842975
167,2019-09-16,NSE:PASHUPATI,70.650002,70.650002,58.150002,70.5,4800.0,-2.015284309184886,2.7857099999999946
168,2019-09-18,NSE:PASHUPATI,67.0,67.0,66.5,66.5,3200.0,-5.673758865248227,-2.015284309184886
169,2019-09-23,NSE:PASHUPATI,67.949997,67.949997,53.650002,67.0,8000.0,0.7518796992481203,-5.673758865248227
170,2019-10-03,NSE:PASHUPATI,66.5,66.900002,56.25,64.349998,144000.0,-3.9552268656716425,0.7518796992481203
171,2019-10-04,NSE:PASHUPATI,68.0,68.0,67.900002,67.900002,51200.0,5.516711904171312,-3.9552268656716425
172,2019-10-07,NSE:PASHUPATI,56.099998,59.049999,56.099998,59.049999,3200.0,-13.03387737749993,5.516711904171312
173,2019-10-10,NSE:PASHUPATI,63.5,63.5,53.5,62.25,200000.0,5.419138110400308,-13.03387737749993
174,2019-10-11,NSE:PASHUPATI,68.5,68.5,53.549999,63.200001,44800.0,1.526106024096386,5.419138110400308
175,2019-10-15,NSE:PASHUPATI,67.099998,67.199997,67.099998,67.199997,3200.0,6.329107494792597,1.526106024096386
176,2019-10-16,NSE:PASHUPATI,54.849998,66.800003,54.700001,65.0,8000.0,-3.273805205675822,6.329107494792597
177,2019-10-17,NSE:PASHUPATI,67.5,67.5,65.75,66.0,43200.0,1.5384615384615385,-3.273805205675822
178,2019-10-22,NSE:PASHUPATI,71.900002,71.900002,57.099998,67.0,8000.0,1.5151515151515151,1.5384615384615385
