,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2022-03-16,NSE:RAJRILTD,1.35,1.35,1.35,1.35,500.0,,
1,2022-03-17,NSE:RAJRILTD,1.4,1.4,1.4,1.4,1119.0,3.7037037037036904,
2,2022-03-21,NSE:RAJRILTD,1.45,1.45,1.45,1.45,314.0,3.5714285714285747,3.7037037037036904
3,2022-03-22,NSE:RAJRILTD,1.5,1.5,1.5,1.5,169.0,3.448275862068969,3.5714285714285747
4,2022-03-23,NSE:RAJRILTD,1.55,1.55,1.55,1.55,20.0,3.333333333333336,3.448275862068969
5,2022-03-24,NSE:RAJRILTD,1.6,1.6,1.6,1.6,662.0,3.2258064516129057,3.333333333333336
6,2022-03-25,NSE:RAJRILTD,1.65,1.65,1.65,1.65,52.0,3.124999999999989,3.2258064516129057
7,2022-03-28,NSE:RAJRILTD,1.7,1.7,1.7,1.7,2556.0,3.030303030303033,3.124999999999989
8,2022-03-29,NSE:RAJRILTD,1.75,1.75,1.75,1.75,384.0,2.941176470588238,3.030303030303033
9,2022-03-30,NSE:RAJRILTD,1.8,1.8,1.8,1.8,71.0,2.85714285714286,2.941176470588238
10,2022-04-01,NSE:RAJRILTD,1.95,1.95,1.95,1.95,480.0,8.333333333333329,2.85714285714286
11,2022-04-04,NSE:RAJRILTD,2.1,2.1,2.1,2.1,73.0,7.6923076923077,8.333333333333329
12,2022-04-05,NSE:RAJRILTD,2.2,2.2,2.2,2.2,2030.0,4.761904761904765,7.6923076923077
13,2022-04-06,NSE:RAJRILTD,2.3,2.3,2.3,2.3,47.0,4.545454545454529,4.761904761904765
14,2022-04-07,NSE:RAJRILTD,2.4,2.4,2.4,2.4,4045.0,4.347826086956526,4.545454545454529
15,2022-04-08,NSE:RAJRILTD,2.5,2.5,2.5,2.5,72.0,4.1666666666666705,4.347826086956526
16,2022-04-11,NSE:RAJRILTD,2.6,2.6,2.6,2.6,30.0,4.0000000000000036,4.1666666666666705
17,2022-04-12,NSE:RAJRILTD,2.7,2.7,2.7,2.7,171.0,3.8461538461538494,4.0000000000000036
18,2022-04-13,NSE:RAJRILTD,2.8,2.8,2.8,2.8,2196.0,3.7037037037036904,3.8461538461538494
19,2022-04-18,NSE:RAJRILTD,2.9,2.9,2.9,2.9,232.0,3.5714285714285747,3.7037037037036904
20,2022-04-19,NSE:RAJRILTD,3.0,3.0,3.0,3.0,27.0,3.448275862068969,3.5714285714285747
21,2022-04-20,NSE:RAJRILTD,3.15,3.15,3.15,3.15,1631.0,4.9999999999999964,3.448275862068969
22,2022-04-21,NSE:RAJRILTD,3.3,3.3,3.3,3.3,28.0,4.761904761904759,4.9999999999999964
23,2022-04-22,NSE:RAJRILTD,3.45,3.45,3.45,3.45,383.0,4.5454545454545565,4.761904761904759
24,2022-04-25,NSE:RAJRILTD,3.6,3.6,3.6,3.6,58.0,4.347826086956519,4.5454545454545565
25,2022-04-26,NSE:RAJRILTD,3.75,3.75,3.75,3.75,136.0,4.166666666666664,4.347826086956519
26,2022-04-27,NSE:RAJRILTD,3.9,3.9,3.9,3.9,31.0,3.9999999999999973,4.166666666666664
