,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-09-13,NSE:SAROJA,65.0,68.25,65.0,68.25,54400.0,,
1,2023-09-14,NSE:SAROJA,71.650002,71.650002,71.650002,71.650002,4800.0,4.981687912087913,
2,2023-09-15,NSE:SAROJA,75.199997,75.199997,75.199997,75.199997,4800.0,4.954633497428229,4.981687912087913
3,2023-09-18,NSE:SAROJA,78.949997,78.949997,78.949997,78.949997,43200.0,4.986702326597168,4.954633497428229
4,2023-09-20,NSE:SAROJA,82.800003,82.800003,75.050003,80.0,65600.0,1.3299595185545148,4.986702326597168
5,2023-09-21,NSE:SAROJA,82.900002,82.900002,78.0,78.0,11200.0,-2.5,1.3299595185545148
6,2023-09-22,NSE:SAROJA,74.550003,76.0,74.099998,74.400002,28800.0,-4.615382051282051,-2.5
7,2023-09-25,NSE:SAROJA,71.0,71.199997,70.699997,70.699997,22400.0,-4.973124866313854,-4.615382051282051
8,2023-09-26,NSE:SAROJA,67.199997,67.300003,67.199997,67.199997,20800.0,-4.950495259568399,-4.973124866313854
9,2023-09-27,NSE:SAROJA,68.0,70.0,67.199997,67.349998,17600.0,0.22321578377451887,-4.950495259568399
10,2023-09-28,NSE:SAROJA,67.349998,67.349998,62.299999,63.700001,22400.0,-5.419446337622755,0.22321578377451887
11,2023-09-29,NSE:SAROJA,64.5,64.5,63.75,63.75,9600.0,0.07849136454487604,-5.419446337622755
12,2023-10-03,NSE:SAROJA,64.449997,64.449997,58.5,60.0,24000.0,-5.88235294117647,0.07849136454487604
13,2023-10-04,NSE:SAROJA,59.0,59.0,55.0,55.0,25600.0,-8.333333333333332,-5.88235294117647
14,2023-10-05,NSE:SAROJA,56.099998,60.799999,56.099998,60.799999,20800.0,10.545452727272727,-8.333333333333332
15,2023-10-06,NSE:SAROJA,60.5,60.5,58.799999,59.0,8000.0,-2.9605247197454716,10.545452727272727
16,2023-10-09,NSE:SAROJA,58.650002,58.650002,58.650002,58.650002,4800.0,-0.5932169491525413,-2.9605247197454716
17,2023-10-10,NSE:SAROJA,60.0,61.900002,60.0,61.5,6400.0,4.859331462597392,-0.5932169491525413
18,2023-10-11,NSE:SAROJA,61.5,61.5,59.5,59.5,14400.0,-3.2520325203252036,4.859331462597392
19,2023-10-12,NSE:SAROJA,59.75,60.349998,59.75,59.799999,8000.0,0.5041999999999994,-3.2520325203252036
20,2023-10-13,NSE:SAROJA,59.5,59.5,59.5,59.5,1600.0,-0.5016705769510125,0.5041999999999994
21,2023-10-17,NSE:SAROJA,60.0,61.700001,59.75,60.900002,11200.0,2.352944537815127,-0.5016705769510125
22,2023-10-19,NSE:SAROJA,60.0,60.0,60.0,60.0,1600.0,-1.4778357478543278,2.352944537815127
23,2023-10-20,NSE:SAROJA,60.0,60.549999,60.0,60.25,11200.0,0.4166666666666667,-1.4778357478543278
24,2023-10-23,NSE:SAROJA,60.25,60.25,59.0,59.150002,12800.0,-1.8257228215767622,0.4166666666666667
