,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2017-05-31,NSE:JALAN,42.25,43.0,40.549999,41.950001,339000.0,,
1,2017-06-01,NSE:JALAN,41.5,42.0,40.5,40.549999,168000.0,-3.337311005070061,
2,2017-06-02,NSE:JALAN,40.099998,40.099998,37.5,38.150002,210000.0,-5.918611736587217,-3.337311005070061
3,2017-06-05,NSE:JALAN,39.0,40.700001,38.450001,38.849998,795000.0,1.834851804201737,-5.918611736587217
4,2017-06-06,NSE:JALAN,39.700001,40.5,39.0,39.849998,147000.0,2.574002706512366,1.834851804201737
5,2017-06-07,NSE:JALAN,40.349998,40.349998,38.049999,38.200001,27000.0,-4.140519655734987,2.574002706512366
6,2017-06-08,NSE:JALAN,38.049999,38.049999,38.0,38.0,9000.0,-0.5235628135192989,-4.140519655734987
7,2017-06-09,NSE:JALAN,37.0,37.299999,36.900002,37.299999,15000.0,-1.842107894736843,-0.5235628135192989
8,2017-06-12,NSE:JALAN,37.950001,37.950001,36.150002,36.150002,12000.0,-3.0831019593324895,-1.842107894736843
9,2017-06-13,NSE:JALAN,36.900002,37.0,35.0,36.849998,42000.0,1.9363650380987494,-3.0831019593324895
10,2017-06-15,NSE:JALAN,37.0,37.0,37.0,37.0,3000.0,0.4070610804375095,1.9363650380987494
11,2017-06-16,NSE:JALAN,37.049999,38.5,37.049999,38.0,66000.0,2.7027027027027026,0.4070610804375095
12,2017-06-19,NSE:JALAN,37.0,38.849998,37.0,38.849998,6000.0,2.236836842105262,2.7027027027027026
13,2017-06-20,NSE:JALAN,38.900002,38.900002,36.25,36.25,45000.0,-6.692401888926737,2.236836842105262
14,2017-06-21,NSE:JALAN,37.0,37.5,37.0,37.5,24000.0,3.4482758620689653,-6.692401888926737
15,2017-06-22,NSE:JALAN,37.25,37.25,37.049999,37.049999,9000.0,-1.2000026666666674,3.4482758620689653
16,2017-06-23,NSE:JALAN,37.0,37.200001,37.0,37.200001,6000.0,0.40486370863330023,-1.2000026666666674
17,2017-06-27,NSE:JALAN,36.099998,36.099998,36.099998,36.099998,3000.0,-2.9569972323387863,0.40486370863330023
18,2017-06-28,NSE:JALAN,37.0,37.0,37.0,37.0,3000.0,2.4930804705307756,-2.9569972323387863
19,2017-06-29,NSE:JALAN,37.0,37.0,36.0,36.0,6000.0,-2.7027027027027026,2.4930804705307756
20,2017-07-03,NSE:JALAN,36.0,36.0,36.0,36.0,3000.0,0.0,-2.7027027027027026
21,2017-07-04,NSE:JALAN,36.0,36.0,35.900002,35.950001,15000.0,-0.1388861111111102,0.0
22,2017-07-06,NSE:JALAN,36.25,37.0,36.25,37.0,12000.0,2.9207203638186257,-0.1388861111111102
23,2017-07-07,NSE:JALAN,36.450001,36.450001,36.450001,36.450001,3000.0,-1.486483783783783,2.9207203638186257
24,2017-07-11,NSE:JALAN,36.599998,36.599998,36.599998,36.599998,6000.0,0.411514392002346,-1.486483783783783
25,2017-07-12,NSE:JALAN,36.599998,36.599998,36.599998,36.599998,3000.0,0.0,0.411514392002346
26,2017-07-13,NSE:JALAN,36.5,36.5,36.0,36.0,9000.0,-1.6393388873955659,0.0
27,2017-07-14,NSE:JALAN,37.0,37.75,37.0,37.599998,24000.0,4.444438888888888,-1.6393388873955659
28,2017-07-18,NSE:JALAN,37.950001,42.5,37.950001,40.5,57000.0,7.7127716868495595,4.444438888888888
29,2017-07-19,NSE:JALAN,40.700001,41.799999,40.700001,41.700001,210000.0,2.962965432098766,7.7127716868495595
30,2017-07-20,NSE:JALAN,41.0,41.0,40.5,40.5,15000.0,-2.8777001707985574,2.962965432098766
31,2017-07-21,NSE:JALAN,40.299999,40.299999,39.099998,39.549999,18000.0,-2.345681481481482,-2.8777001707985574
32,2017-07-24,NSE:JALAN,41.099998,41.25,41.0,41.0,27000.0,3.666247880309682,-2.345681481481482
33,2017-07-25,NSE:JALAN,40.75,42.799999,40.75,42.650002,66000.0,4.024395121951222,3.666247880309682
