,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-07-21,NSE:DRONE,107.45,107.95,102.1,102.1,2240000.0,,
1,2023-07-24,NSE:DRONE,97.0,97.0,97.0,97.0,154000.0,-4.99510284035259,
2,2023-07-25,NSE:DRONE,95.0,101.85,95.0,101.85,1502000.0,4.999999999999994,-4.99510284035259
3,2023-07-26,NSE:DRONE,102.0,106.9,99.300003,106.9,826000.0,4.958271968581259,4.999999999999994
4,2023-07-27,NSE:DRONE,110.7,111.5,101.55,102.45,564000.0,-4.162768942937327,4.958271968581259
5,2023-07-28,NSE:DRONE,102.45,105.65,98.300003,104.45,298000.0,1.9521717911176184,-4.162768942937327
6,2023-07-31,NSE:DRONE,105.0,109.65,102.0,109.65,296000.0,4.978458592628055,1.9521717911176184
7,2023-08-01,NSE:DRONE,115.1,115.1,113.0,115.1,400000.0,4.970360237118093,4.978458592628055
8,2023-08-02,NSE:DRONE,115.4,120.85,112.0,120.85,328000.0,4.995655951346655,4.970360237118093
9,2023-08-03,NSE:DRONE,126.85,126.85,126.85,126.85,130000.0,4.9648324369052546,4.995655951346655
10,2023-08-04,NSE:DRONE,129.75,152.2,125.0,144.8,2556000.0,14.150571541190397,4.9648324369052546
11,2023-08-07,NSE:DRONE,147.8,156.0,140.0,144.60001,1070000.0,-0.13811464088398748,14.150571541190397
12,2023-08-08,NSE:DRONE,148.0,148.10001,133.0,137.89999,360000.0,-4.633485156743761,-0.13811464088398748
13,2023-08-09,NSE:DRONE,137.89999,141.0,134.10001,135.0,312000.0,-2.102966069830754,-4.633485156743761
14,2023-08-10,NSE:DRONE,134.0,134.0,127.35,129.05,232000.0,-4.407407407407399,-2.102966069830754
15,2023-08-11,NSE:DRONE,131.0,133.89999,126.0,131.89999,178000.0,2.2084385896939103,-4.407407407407399
16,2023-08-14,NSE:DRONE,132.3,148.0,128.55,140.0,664000.0,6.141023968235325,2.2084385896939103
17,2023-08-16,NSE:DRONE,141.5,144.0,134.0,136.0,254000.0,-2.857142857142857,6.141023968235325
18,2023-08-17,NSE:DRONE,136.0,139.45,135.0,135.7,68000.0,-0.22058823529412602,-2.857142857142857
19,2023-08-18,NSE:DRONE,135.7,135.95,129.0,129.35001,232000.0,-4.679432571849662,-0.22058823529412602
20,2023-08-21,NSE:DRONE,129.95,129.95,123.0,124.55,244000.0,-3.710869446395868,-4.679432571849662
21,2023-08-22,NSE:DRONE,127.8,131.95,125.1,127.9,368000.0,2.6896828582898507,-3.710869446395868
22,2023-08-23,NSE:DRONE,130.75,130.75,122.8,123.55,180000.0,-3.401094605160288,2.6896828582898507
23,2023-08-24,NSE:DRONE,124.6,134.95,124.3,129.05,546000.0,4.45163901254554,-3.401094605160288
24,2023-08-25,NSE:DRONE,129.7,132.0,127.1,128.64999,162000.0,-0.30996512979466007,4.45163901254554
