,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-07-23,NSE:ETERNAL,116.0,138.89999,115.0,126.0,694895290.0,,
1,2021-07-26,NSE:ETERNAL,126.35,143.75,125.3,140.64999,249723854.0,11.626976190476194,
2,2021-07-27,NSE:ETERNAL,141.7,147.8,127.75,132.89999,240341900.0,-5.510131923934015,11.626976190476194
3,2021-07-28,NSE:ETERNAL,131.0,135.0,123.55,131.2,159793731.0,-1.2791498328931505,-5.510131923934015
4,2021-07-29,NSE:ETERNAL,134.95,144.0,132.2,141.55,117973089.0,7.88871951219514,-1.2791498328931505
5,2021-07-30,NSE:ETERNAL,142.60001,142.7,131.0,133.5,88312522.0,-5.687036382903575,7.88871951219514
6,2021-08-02,NSE:ETERNAL,135.75,140.75,135.14999,139.7,66909732.0,4.644194756554299,-5.687036382903575
7,2021-08-03,NSE:ETERNAL,137.0,140.8,137.0,139.39999,46610001.0,-0.2147530422333473,4.644194756554299
8,2021-08-04,NSE:ETERNAL,139.8,141.0,135.25,138.39999,41134419.0,-0.7173601662381754,-0.2147530422333473
9,2021-08-05,NSE:ETERNAL,138.75,138.89999,132.0,134.95,38437134.0,-2.4927675211537323,-0.7173601662381754
10,2021-08-06,NSE:ETERNAL,135.5,136.2,130.10001,131.35001,31975356.0,-2.6676472767691672,-2.4927675211537323
11,2021-08-09,NSE:ETERNAL,132.39999,133.55,127.25,130.60001,41358299.0,-0.570993485268863,-2.6676472767691672
12,2021-08-10,NSE:ETERNAL,131.0,131.45,122.1,125.2,43164004.0,-4.134769974366766,-0.570993485268863
13,2021-08-11,NSE:ETERNAL,123.0,138.75,123.0,135.64999,111702781.0,8.346637380191693,-4.134769974366766
14,2021-08-12,NSE:ETERNAL,135.64999,137.39999,132.05,135.45,51256670.0,-0.14743089918400576,8.346637380191693
15,2021-08-13,NSE:ETERNAL,133.85001,139.75,132.10001,137.35001,33674300.0,1.402739018087862,-0.14743089918400576
16,2021-08-16,NSE:ETERNAL,136.39999,136.89999,132.25,134.95,20305361.0,-1.7473679106394013,1.402739018087862
17,2021-08-17,NSE:ETERNAL,132.8,134.35001,130.60001,132.5,15815187.0,-1.8154872174879502,-1.7473679106394013
18,2021-08-18,NSE:ETERNAL,134.5,136.8,133.3,134.95,22566920.0,1.8490566037735763,-1.8154872174879502
19,2021-08-20,NSE:ETERNAL,134.95,141.45,133.0,139.3,53789580.0,3.223416080029658,1.8490566037735763
20,2021-08-23,NSE:ETERNAL,137.8,137.8,124.75,127.25,68470861.0,-8.650394831299362,3.223416080029658
21,2021-08-24,NSE:ETERNAL,127.25,127.95,120.5,125.0,56713556.0,-1.768172888015717,-8.650394831299362
22,2021-08-25,NSE:ETERNAL,126.0,128.5,123.1,124.25,51078811.0,-0.6,-1.768172888015717
23,2021-08-26,NSE:ETERNAL,125.25,127.15,124.35,125.85,20645403.0,1.287726358148889,-0.6
24,2021-08-27,NSE:ETERNAL,126.6,129.5,124.1,124.7,22227595.0,-0.9137862534763541,1.287726358148889
25,2021-08-30,NSE:ETERNAL,127.85,135.45,127.55,133.55,45239080.0,7.097032878909388,-0.9137862534763541
26,2021-08-31,NSE:ETERNAL,134.0,135.2,131.35001,134.55,24640924.0,0.7487832272557093,7.097032878909388
27,2021-09-01,NSE:ETERNAL,134.55,135.10001,130.7,132.60001,16162269.0,-1.4492679301375055,0.7487832272557093
28,2021-09-02,NSE:ETERNAL,132.0,138.5,131.5,137.60001,27882466.0,3.7707387804872714,-1.4492679301375055
29,2021-09-03,NSE:ETERNAL,135.95,151.39999,135.60001,149.75,113381518.0,8.829933951312942,3.7707387804872714
30,2021-09-06,NSE:ETERNAL,149.25,149.35001,143.25,144.05,34811620.0,-3.8063439065108438,8.829933951312942
31,2021-09-07,NSE:ETERNAL,144.89999,146.85001,138.55,140.05,30421931.0,-2.776813606386671,-3.8063439065108438
32,2021-09-08,NSE:ETERNAL,141.0,143.60001,139.05,141.25,28133284.0,0.8568368439842832,-2.776813606386671
33,2021-09-09,NSE:ETERNAL,141.39999,142.89999,140.0,141.60001,18970691.0,0.24779469026548492,0.8568368439842832
34,2021-09-13,NSE:ETERNAL,143.25,144.25,142.0,143.14999,17426798.0,1.0946185667642292,0.24779469026548492
35,2021-09-14,NSE:ETERNAL,145.14999,152.75,136.2,144.10001,112358935.0,0.663653556664583,1.0946185667642292
