,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-08-21,NSE:DOLPHIN,10.9,11.445,10.9,11.445,1600.0,,
1,2023-08-22,NSE:DOLPHIN,12.015,12.015,12.015,12.015,1760.0,4.980340760157277,
2,2023-08-23,NSE:DOLPHIN,12.615,12.615,12.615,12.615,310.0,4.993757802746564,4.980340760157277
3,2023-08-24,NSE:DOLPHIN,13.245,13.245,13.245,13.245,320.0,4.994054696789528,4.993757802746564
4,2023-08-25,NSE:DOLPHIN,13.905,13.905,13.905,13.905,130.0,4.983012457531146,4.994054696789528
5,2023-08-28,NSE:DOLPHIN,14.6,14.6,14.6,14.6,3530.0,4.998202085580729,4.983012457531146
6,2023-08-29,NSE:DOLPHIN,15.33,15.33,15.33,15.33,330.0,5.000000000000003,4.998202085580729
7,2023-08-30,NSE:DOLPHIN,16.095,16.095,16.095,16.095,860.0,4.990215264187859,5.000000000000003
8,2023-08-31,NSE:DOLPHIN,16.895,16.895,16.895,16.895,1080.0,4.970487729108424,4.990215264187859
9,2023-09-01,NSE:DOLPHIN,17.735001,17.735001,17.735001,17.735001,370.0,4.97189109203907,4.970487729108424
10,2023-09-04,NSE:DOLPHIN,19.505,19.505,19.505,19.505,380.0,9.980258811375304,4.97189109203907
11,2023-09-05,NSE:DOLPHIN,21.455,21.455,21.455,21.455,440.0,9.997436554729553,9.980258811375304
12,2023-09-06,NSE:DOLPHIN,23.6,23.6,23.6,23.6,3000.0,9.997669540899572,9.997436554729553
13,2023-09-07,NSE:DOLPHIN,24.78,24.78,24.78,24.78,640.0,4.999999999999998,9.997669540899572
14,2023-09-08,NSE:DOLPHIN,26.014999,26.014999,26.014999,26.014999,550.0,4.9838539144471286,4.999999999999998
15,2023-09-11,NSE:DOLPHIN,27.314999,27.314999,27.314999,27.314999,3850.0,4.997117239943007,4.9838539144471286
16,2023-09-12,NSE:DOLPHIN,28.679999,28.679999,28.679999,28.679999,830.0,4.997254438852436,4.997117239943007
17,2023-09-13,NSE:DOLPHIN,30.110001,30.110001,30.110001,30.110001,2610.0,4.986060145957473,4.997254438852436
