,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-12-29,NSE:INNOVACAP,452.10001,542.5,452.10001,541.40002,15496570.0,,
1,2024-01-01,NSE:INNOVACAP,535.0,548.90002,506.0,530.34998,3492240.0,-2.0410121152193677,
2,2024-01-02,NSE:INNOVACAP,529.95001,588.0,528.29999,565.5,2538466.0,6.627702710576146,-2.0410121152193677
3,2024-01-03,NSE:INNOVACAP,565.5,579.0,547.04999,549.84998,931875.0,-2.7674659593280357,6.627702710576146
4,2024-01-04,NSE:INNOVACAP,550.04999,557.0,533.15002,537.5,541015.0,-2.246063553553273,-2.7674659593280357
5,2024-01-05,NSE:INNOVACAP,538.0,553.25,530.90002,537.15002,969102.0,-0.06511255813952736,-2.246063553553273
6,2024-01-08,NSE:INNOVACAP,535.0,538.0,512.0,523.5,758943.0,-2.541193240577379,-0.06511255813952736
7,2024-01-09,NSE:INNOVACAP,530.04999,537.75,518.0,526.84998,499482.0,0.6399197707736313,-2.541193240577379
8,2024-01-10,NSE:INNOVACAP,520.59998,533.0,515.09998,520.90002,333937.0,-1.129346156566224,0.6399197707736313
9,2024-01-11,NSE:INNOVACAP,522.04999,528.34998,516.40002,518.59998,293035.0,-0.4415511444979558,-1.129346156566224
10,2024-01-12,NSE:INNOVACAP,519.0,534.0,514.20001,519.15002,444380.0,0.10606247998699904,-0.4415511444979558
11,2024-01-15,NSE:INNOVACAP,520.34998,525.0,511.5,513.65002,270219.0,-1.0594240177434644,0.10606247998699904
12,2024-01-16,NSE:INNOVACAP,513.65002,515.95001,501.0,507.45001,185366.0,-1.2070495003582438,-1.0594240177434644
13,2024-01-17,NSE:INNOVACAP,499.89999,520.5,496.0,517.75,275306.0,2.029754615631987,-1.2070495003582438
14,2024-01-18,NSE:INNOVACAP,523.0,525.0,501.39999,519.20001,244371.0,0.28005987445678804,2.029754615631987
15,2024-01-19,NSE:INNOVACAP,577.34998,583.90002,531.40002,539.45001,1243047.0,3.9002310496873833,0.28005987445678804
16,2024-01-20,NSE:INNOVACAP,539.75,542.95001,522.59998,526.5,124830.0,-2.4005950060136287,3.9002310496873833
17,2024-01-23,NSE:INNOVACAP,526.95001,530.45001,510.20001,517.40002,262425.0,-1.728391263057922,-2.4005950060136287
18,2024-01-24,NSE:INNOVACAP,515.0,526.29999,509.0,523.54999,130040.0,1.1886296409497508,-1.728391263057922
